YEAR	MONTH	GLOBAL RADIATION (cal/cm.d)	SUNLIGHT (h/d)	PRECIPITATION (mm)	RELATIVE HUMIDITY (%)	 MAX TEMPERATURE (°C)	 MIN TEMPERATURE  (°C)	 AVERAGE TEMPERATURE  (°C)
1985 	JAN 	486	5.5	131.8	82	29.2	18.6	23.9
1986 	JAN 	590	6.8	143.0	71	32.5	19.2	25.9
1987 	JAN 	416	6.6	342.9	79	30.8	19.7	25.3
1988 	JAN 	436	7.6	185.3	73	32.4	20.0	26.2
1989 	JAN 	386	5.5	370.8	70	29.8	19.0	24.4
1990 	JAN 	423	6.8	271.4	68	31.6	19.7	25.6
1991 	JAN	422	6.6	266.6	77	30.5	18.8	24.7
1992 	JAN	408	6.5	99.2	79	30.5	19.0	24.7
1993 	JAN	408	5.7	179.9	82	31.0	19.7	25.3
1994 	JAN	402	5.6	134.8	84	30.3	19.3	24.8
1995 	JAN	429	6.3	197.3	84	31.9	20.6	26.2
1996 	JAN	439	6.6	314.8	81	31.2	20.3	25.7
1997 	JAN	361	4.2	352.2	87	29.7	20.1	24.9
1998 	JAN	458	6.5	121.2	79	31.7	20.6	26.2
1999 	JAN	383	4.9	382.8	88	30.6	20.4	25.5
2000 	JAN	464	6.4	235.9	83	30.2	19.1	24.7
2001 	JAN	509	7.4	229.6	75	31.9	19.6	25.8
2002 	JAN	410	4.8	320.2	90	29.8	19.3	24.6
2003 	JAN	362	4.2	302.4	92	29.6	20.2	24.9
2004 	JAN	371	4.4	196.4	83	29.2	18.7	23.1
2005 	JAN	363	3.6	238.7	92	29.0	20.1	24.6
2006 	JAN	452	6.2	240.5	83	31.4	19.6	25.5
2007 	JAN	374	3.8	267.0	92	29.3	20.1	24.7
2008 	JAN	413	4.3	418.5	88	28.9	18.5	23.7
2009 	JAN	430	4.7	162.0	84	28.9	19.2	24.1
2010 	JAN	417	4.7	250.2	84	30.2	20.3	25.3
2011 	JAN	481	6.3	421.7	80	31.0	20.2	25.6
2012 	JAN	477	6.2	217.0	82	28.9	18.2	23.6
2013 	JAN	452	5.5	232.3	84	29.6	19.2	24.4
2014 	JAN	617	9.7	83.3	69	33.4	20.2	26.8
2015 	JAN	586	8.3	104.1	72	33.7	21.6	27.7
2016 	JAN	526	6.6	267.8	82	31.9	21.2	26.6
2017 	JAN	439	5.4	334.5	82	30.2	20.3	25.3
2018 	JAN	472	5.9	225.0	80	30.3	19.4	24.8
2019 	JAN	585	8.6	145.8	74	33.4	20.3	26.9
2020 	JAN							
1917 	FEB 			135.8		28.3	18.4	23.3
1918 	FEB 			81.3		29.2	18.5	23.8
1919 	FEB 			96.2		29.1	18.8	23.9
1920 	FEB 			135.3		29.6	18.9	24.2
1921 	FEB 		11.2	101.5		30.6	19.3	25.0
1922 	FEB 		9.5	176.6		28.7	19.2	23.9
1923 	FEB 		9.8	144.4		28.7	18.9	23.8
1924 	FEB 		9.7	154.2		28.9	19.2	24.1
1925 	FEB 		13.5	55.2		32.4	18.9	25.7
1926 	FEB 		8.7	20.6		30.5	17.0	23.8
1927 	FEB 		7.0	259.4		29.8	18.6	24.2
1928 	FEB 		6.6	220.6		31.3	20.3	25.8
1929 	FEB 		5.3	331.6		29.3	19.3	24.3
1930 	FEB 		6.2	427.8		29.2	19.0	24.1
1931 	FEB 		5.3	334.4		27.8	18.7	23.3
1932 	FEB 		6.5	95.7		30.6	20.0	25.3
1933 	FEB 		6.0	150.0		30.8	18.7	24.7
1934 	FEB 		7.5	103.4		30.8	19.2	25.0
1935 	FEB 		3.3	194.4		29.1	20.2	24.7
1936 	FEB 		7.0	203.4		29.9	18.4	24.2
1937 	FEB 		7.7	95.8		31.1	19.2	25.2
1938 	FEB 		6.9	120.6		31.1	20.0	25.5
1939 	FEB 		8.0	279.9	 	30.6	19.1	24.8
1940 	FEB 		5.1	461.7		28.2	18.6	23.4
1941 	FEB 		7.8	128.7		31.9	19.5	25.7
1942 	FEB 		5.5	197.2		30.5	19.9	25.2
1943 	FEB 		5.8	141.4	74	29.8	18.3	24.1
1944 	FEB 		5.0	215.2	74	29.9	18.5	24.2
1945 	FEB 		5.5	256.7	76	30.3	19.7	25.0
1946 	FEB 		4.6	192.6	79	30.2	20.2	25.2
1947 	FEB 		6.0	338.9	75	30.3	19.9	25.1
1948 	FEB 		5.0	247.7	79	28.9	19.3	24.1
1949 	FEB 		6.7	206.5	73	28.9	17.6	23.2
1950 	FEB 		5.5	321.7	78	28.7	18.7	23.7
1951 	FEB 		5.2	215.4	78	29.1	18.7	23.9
1952 	FEB 		3.6	218.6	79	28.3	19.0	23.6
1953 	FEB 		7.0	107.4	72	29.5	18.3	23.9
1954 	FEB 		5.4	204.2	75	31.1	19.2	25.1
1955 	FEB 		7.6	63.7	69	33.2	18.6	25.9
1956 	FEB 		7.5	136.9	71	30.4	18.5	24.4
1957 	FEB 		6.1	128.3	75	28.2	18.0	23.1
1958 	FEB 		6.4	143.8	76	30.2	19.2	24.7
1959 	FEB 		6.7	162.5	75	31.2	19.3	25.2
1960 	FEB 		4.1	332.8	81	28.1	18.6	23.4
1961 	FEB 		5.3	195.5	78	29.5	19.2	24.4
1962 	FEB 		7.2	246.0	78	29.8	17.9	23.9
1963 	FEB 		7.9	110.6	76	30.3	18.7	24.5
1964 	FEB 		5.1	202.6	76	29.1	18.9	24.0
1965 	FEB 		5.3	278.4	76	28.2	18.9	23.5
1966 	FEB 		7.3	198.8	75	31.1	19.9	25.5
1967 	FEB 		5.1	196.6	81	29.8	19.2	24.5
1968 	FEB 		7.6	91.5	69	29.4	16.8	23.1
1969 	FEB 		6.9	40.9	75	32.1	19.7	25.9
1970 	FEB 		4.9	293.4	84	29.1	19.0	24.0
1971 	FEB 		7.1	81.3	70	32.3	19.2	27.5
1972 	FEB 			238.7	76	28.0	18.5	23.3
1973 	FEB 			115.2				
1974 	FEB 		8.8	60.1	71	32.1	19.0	25.5
1975 	FEB 		5.0	357.3	82	30.2	19.8	25.0
1976 	FEB 		4.4	287.0	71	28.4	16.8	22.6
1977 	FEB 		8.2	37.3	75	33.1	20.3	26.7
1978 	FEB 	506	8.2	111.6	75	31.8	17.5	24.6
1979 	FEB 	462	7.0	114.4	77	30.8	16.7	23.7
1980 	FEB 	339		163.3	85	29.8	19.0	22.3
1981 	FEB 	422	7.8	71.2		32.3	19.0	25.8
1982 	FEB 	562	6.4	221.8	78	31.4	19.3	25.4
1983 	FEB 	580	6.1	283.9	81	30.5	19.2	24.8
1984 	FEB 	687	9.8	18.7	69	34.5	20.2	27.3
1985 	FEB 	425	6.0	118.6	81	31.5	19.8	25.7
1986 	FEB 	475	4.8	96.2	76	30.6	19.4	25.0
1987 	FEB 	436	5.7	203.1	77	30.4	18.7	24.6
1988 	FEB 	338	5.4	328.3	78	30.3	18.9	24.6
1989 	FEB 	373	5.6	298.3	68	29.9	19.6	24.7
1990 	FEB 	434	8.0	145.9	67	31.8	18.9	25.3
1991 	FEB 	405	6.3	217.6	79	30.4	18.5	24.4
1992 	FEB 	394	6.2	72.4	77	30.6	18.7	24.6
1993 	FEB 	340	3.7	232.1	85	28.8	18.8	23.8
1994 	FEB	471	7.6	154.4	83	33.0	20.2	26.6
1995 	FEB	322	4.6	415.6	88	29.9	20.0	25.0
1996 	FEB	418	6.2	258.3	84	31.8	20.1	26.0
1997 	FEB	424	7.6	87.1	80	31.7	19.5	24.7
1998 	FEB	416	4.8	362.2	90	30.0	20.5	25.3
1999 	FEB	410	5.4	198.3	90	30.7	20.1	25.4
2000 	FEB	450	5.5	124.0	87	29.9	19.2	24.6
2001 	FEB	457	6.2	92.7	82	31.7	20.4	26.0
2002 	FEB	404	5.1	187.9	82	29.0	18.8	23.9
2003 	FEB	458	7.3	58.6	83	32.5	20.5	26.5
2004 	FEB	422	6.1	194.0	86	29.6	18.4	24.0
2005 	FEB	509	8.0	67.8	80	31.5	18.1	24.8
2006 	FEB	412	5.0	176.2	86	30.3	19.6	25.0
2007 	FEB	505	7.3	241.9	85	31.6	19.3	25.5
2008 	FEB	483	6.1	153.7	86	30.7	19.0	24.8
2009 	FEB	458	5.8	143.5	83	30.6	20.1	25.3
2010 	FEB	509	7.6	158.6	74	31.8	20.2	26.0
2011 	FEB	486	7.1	145.5	77	31.9	20.2	26.0
2012 	FEB	543	8.2	139.2	73	32.6	19.8	26.3
2013 	FEB	483	7.2	114.3	82	31.7	19.9	25.8
2014 	FEB	562	8.6	62.4	65	33.7	20.5	27.1
2015 	FEB	483	6.8	248.2	84	32.2	20.9	26.5
2016 	FEB	509	6.9	197.6	83	31.5	20.9	26.2
2017 	FEB	503	7.6	88.8	74	32.2	20.0	26.1
2018 	FEB	445	6.9	71.6	76	30.2	18.2	24.2
2019 	FEB	437	5.4	152.9	80	30.2	19.4	24.8
1917 	MAR 			58.9		28.6	16.9	22.7
1918 	MAR 			152.1		28.5	16.9	22.7
1919 	MAR 			30.6		29.4	17.4	23.4
1920 	MAR 			164.0		29.0	17.8	23.4
1921 	MAR 		11.6	17.8		30.4	18.8	24.6
1922 	MAR 		9.5	117.2		28.7	19.2	24.0
1923 	MAR 		9.7	311.4		28.8	19.1	23.9
1924 	MAR 		11.2	139.5		30.2	19.0	24.6
1925 	MAR 		12.5	84.7		30.3	17.8	24.0
1926 	MAR 		6.0	214.4		30.0	18.9	24.4
1927 	MAR 		7.0	189.6		29.7	18.9	24.3
1928 	MAR 		5.6	155.9		29.3	19.4	24.3
1929 	MAR 		5.1	32.6		29.5	18.6	24.0
1930 	MAR 		9.2	23.4		31.2	17.4	24.3
1931 	MAR 		6.6	184.3		28.8	18.3	23.6
1932 	MAR 		7.6	124.8		30.0	17.9	23.9
1933 	MAR 		7.7	41.6		30.1	16.4	23.2
1934 	MAR 		7.9	46.7		31.3	18.1	24.7
1935 	MAR 		7.5	140.0		30.7	19.1	24.9
1936 	MAR 		6.0	202.4		28.4	23.5	25.9
1937 	MAR 		6.2	206.2		30.0	18.9	24.4
1938 	MAR 		8.3	107.0		32.0	19.4	25.7
1939 	MAR 		6.9	169.9		30.7	19.1	24.9
1940 	MAR 		8.9	96.8		31.9	18.4	25.1
1941 	MAR 		6.9	84.5		30.4	17.9	24.2
1942 	MAR 		5.4	206.7		29.5	19.0	24.3
1943 	MAR 		7.0	269.8	74	30.5	18.5	24.5
1944 	MAR 		7.1	182.9	72	30.7	18.3	24.5
1945 	MAR 		6.4	85.5	71	29.6	18.0	23.8
1946 	MAR 		4.3	112.8	76	28.2	17.8	23.0
1947 	MAR 		5.1	130.7	76	27.6	17.8	22.7
1948 	MAR 		7.1	104.3	73	28.5	16.7	22.6
1949 	MAR 		7.2	183.3	74	30.9	19.0	24.9
1950 	MAR 		5.2	161.1	75	28.6	18.2	23.4
1951 	MAR 		6.2	160.4	77	29.2	17.9	23.5
1952 	MAR 		4.6	102.4	76	28.4	18.5	23.4
1953 	MAR 		6.0	161.8	73	29.2	18.3	23.7
1954 	MAR 		5.5	136.6	75	30.7	17.7	24.2
1955 	MAR 		5.9	194.5	74	30.2	17.5	23.9
1956 	MAR 		7.8	47.1	69	29.9	17.0	23.5
1957 	MAR 		6.9	185.6	75	28.6	17.3	23.0
1958 	MAR 		6.8	167.6	76	28.6	16.7	22.6
1959 	MAR 		6.5	196.2	76	29.3	17.5	23.4
1960 	MAR 		8.1	74.6	73	29.7	17.2	23.4
1961 	MAR 		6.1	129.6	77	29.4	18.0	23.7
1962 	MAR 		6.2	329.0	78	29.7	18.0	23.8
1963 	MAR 		7.5	56.0	74	31.9	19.0	25.4
1964 	MAR 		7.7	11.8	67	30.3	16.6	23.5
1965 	MAR 		6.2	147.5	76	27.6	16.5	22.0
1966 	MAR 		6.1	55.6	73	29.3	17.6	23.4
1967 	MAR 		6.2	152.1	80	29.4	18.3	23.9
1968 	MAR 		6.1	45.5	73	30.1	17.4	23.8
1969 	MAR 		7.7	173.8	72	31.9	17.8	24.9
1970 	MAR 		6.8	96.5	76	30.7	18.3	24.5
1971 	MAR 		6.5	173.5	75	31.2	18.6	24.9
1972 	MAR 			92.1	71	30.3	18.2	24.3
1973 	MAR 			83.5				
1974 	MAR 		5.6	301.3	81	28.2	18.2	23.2
1975 	MAR 		7.3	32.9	74	31.0	18.5	24.8
1976 	MAR 		6.4	140.9	68	29.9	16.4	23.2
1977 	MAR 		6.3	199.8	83	31.4	19.7	25.5
1978 	MAR 	402	6.6	85.1	78	30.5	17.0	23.7
1979 	MAR 	410	7.4	84.7	76	29.7	15.2	22.4
1980 	MAR 	346	7.8	42.3	76	32.2	18.8	23.5
1981 	MAR 	336	6.6	65.5	76	31.1	18.3	24.7
1982 	MAR 	455	3.9	132.3	84	28.8	18.6	23.7
1983 	MAR 	535	5.8	225.6	80	28.9	17.7	23.3
1984 	MAR 	547	6.5	47.1	74	32.0	18.8	25.4
1985 	MAR 	407	6.2	203.1	78	30.0	18.9	24.4
1986 	MAR 	401	5.4	320.8	79	30.8	18.5	24.6
1987 	MAR 	445	8.0	105.6	71	30.9	17.3	24.1
1988 	MAR 	385	8.2	194.3	70	31.2	18.1	24.6
1989 	MAR 	379	6.9	99.0	67	30.6	18.5	24.6
1990 	MAR 	365	6.8	240.2	72	30.9	19.1	25.0
1991 	MAR 	297	4.1	431.9	84	28.0	18.6	23.3
1992 	MAR 	329	5.1	232.7	84	29.7	18.2	23.9
1993 	MAR 	373	6.3	155.9	80	30.9	18.6	24.7
1994 	MAR 	392	6.6	222.7	84	29.7	18.5	24.1
1995 	MAR 	352	5.4	194.6	83	30.4	18.5	24.5
1996 	MAR 	382	6.4	146.5	85	30.5	19.4	25.0
1997 	MAR 	380	7.7	73.1	73	29.9	17.5	23.7
1998 	MAR 	380	6.0	127.8	85	31.0	19.8	25.4
1999 	MAR 	429	7.7	210.8	81	31.4	19.0	25.2
2000 	MAR 	411	5.4	185.3	84	29.7	18.5	24.1
2001 	MAR 	450	7.0	164.2	77	31.5	19.3	25.4
2002 	MAR 	462	7.9	274.6	74	32.0	19.5	25.8
2003 	MAR 	410	6.1	180.9	86	30.0	18.6	24.3
2004 	MAR 	420	7.1	79.1	83	29.5	17.3	23.4
2005 	MAR 	382	5.2	111.6	86	30.6	18.8	24.7
2006 	MAR 	418	5.9	154.0	82	31.0	19.3	25.2
2007 	MAR 	471	7.7	80.5	92	32.5	19.0	25.8
2008 	MAR 	467	7.2	132.4	82	29.7	18.2	24.0
2009 	MAR 	457	6.9	125.1	79	30.8	19.4	25.1
2010 	MAR 	425	6.6	99.0	76	30.5	19.2	24.9
2011 	MAR 	360	4.4	222.2	83	28.2	19.4	23.8
2012 	MAR 	516	8.7	63.5	74	31.1	18.4	24.8
2013 	MAR 	431	6.3	141.5	82	30.6	19.3	25.0
2014 	MAR 	503	8.4	108.8	78	31.4	19.3	25.4
2015 	MAR 	401	5.8	134.3	86	30.1	19.9	25.0
2016 	MAR 	426	7.1	126.7	83	30.5	19.6	25.0
2017 	MAR 	472	7.8	137.0	77	30.6	18.4	24.5
2018 	MAR 	466	8.2	204.5	79	32.1	19.6	25.8
2019 	MAR 	465	7.0	73.4	79	30.5	19.2	24.8
1917 	APR 			116.2		26.7	13.9	20.3
1918 	APR 			25.2		27.3	14.7	21.0
1919 	APR 			78.0		28.2	16.4	22.3
1920 	APR 			50.2		28.5	15.5	22.0
1921 	APR 		14.9	31.7		28.4	13.5	21.0
1922 	APR 		11.5	29.5		28.2	16.7	22.5
1923 	APR 		11.7	89.8		28.9	17.2	23.1
1924 	APR 		13.8	15.4		29.1	15.2	22.1
1925 	APR 		13.2	40.4		30.4	17.2	23.8
1926 	APR 		5.7	238.5		27.3	16.9	22.1
1927 	APR 		8.2	22.5		29.0	16.2	22.6
1928 	APR 		7.3	34.2		30.3	17.9	24.1
1929 	APR 		7.1	68.2		26.9	13.4	20.2
1930 	APR 		7.1	41.0		28.7	15.2	22.0
1931 	APR 		7.3	103.0		28.5	16.3	22.4
1932 	APR 		6.9	30.4		29.7	16.7	23.2
1933 	APR 		7.4	4.0		28.3	14.1	21.2
1934 	APR 		5.9	21.6		28.9	16.3	22.6
1935 	APR 		6.7	68.8		26.9	14.4	20.6
1936 	APR 		7.9	37.8		28.6	15.4	22.0
1937 	APR 		5.8	203.0		26.3	15.9	21.1
1938 	APR 		7.0	66.0		28.4	16.3	22.3
1939 	APR 		7.5	49.7		27.7	15.7	21.7
1940 	APR 		6.9	18.0		30.2	17.2	23.7
1941 	APR 		7.6	56.2		30.7	17.4	24.0
1942 	APR 		5.6	84.3		27.1	15.9	21.5
1943 	APR 		8.0	37.1	71	26.8	13.4	20.1
1944 	APR 		7.2	23.0	69	27.9	14.3	21.1
1945 	APR 		7.1	120.5	71	28.5	15.6	22.0
1946 	APR 		7.6	18.1	70	27.5	13.3	20.4
1947 	APR 		7.2	10.2	68	28.6	14.6	21.6
1948 	APR 		8.2	38.6	69	28.3	14.0	21.2
1949 	APR 		7.3	54.6	69	26.7	13.6	20.1
1950 	APR 		6.4	121.6	74	27.6	16.1	21.9
1951 	APR 		13.3	22.2	69	32.5	11.2	21.8
1952 	APR 		5.8	52.5	72	26.0	12.8	19.4
1953 	APR 		6.9	74.4	77	26.3	14.6	20.4
1954 	APR 		6.6	30.5	70	28.7	13.8	21.2
1955 	APR 		6.5	120.0	74	28.3	15.8	22.1
1956 	APR 		6.1	90.6	73	27.4	15.5	21.5
1957 	APR 		6.5	66.9	76	26.5	14.9	20.7
1958 	APR 		6.1	128.2	77	26.2	14.7	20.5
1959 	APR 		7.6	45.2	71	30.8	16.9	23.9
1960 	APR 		6.5	38.4	74	27.0	14.4	20.7
1961 	APR 		5.9	101.7	78	28.4	16.3	22.3
1962 	APR 		6.9	17.2	72	28.6	14.2	21.4
1963 	APR 		8.2	5.0	66	30.0	16.6	23.3
1964 	APR 		6.7	10.7	70	29.8	16.3	23.1
1965 	APR 		7.3	55.3	72	28.6	15.1	21.9
1966 	APR 		7.0	18.2	67	28.5	15.2	21.9
1967 	APR 		8.3	3.6	71	29.0	14.9	22.0
1968 	APR 		7.3	32.7	69	27.0	12.1	19.6
1969 	APR 		7.7	53.1	72	28.5	14.4	21.5
1970 	APR 		7.7	83.2	72	28.7	14.8	21.8
1971 	APR 		7.5	28.3	70	28.3	18.5	23.4
1972 	APR 			101.5	66	23.2	11.5	17.7
1973 	APR 			88.0				
1974 	APR 		6.5	21.4	76	26.2	14.4	20.3
1975 	APR 		6.8	37.3	75	28.1	14.4	21.3
1976 	APR 		6.0	19.2	85	26.5	14.7	20.6
1977 	APR 		6.0	107.7	86	26.5	15.2	20.9
1978 	APR 	405	8.0	15.5	74	29.0	12.4	20.7
1979 	APR 	288	7.0	63.9	76	27.8	12.4	20.1
1980 	APR 	255	6.2	165.3	79	28.7	16.1	20.7
1981 	APR 	306	7.0	74.5	77	28.8	14.6	20.9
1982 	APR 	523	7.4	125.7	78	26.9	14.0	20.5
1983 	APR 	450	5.4	189.5	80	28.3	16.4	22.0
1984 	APR 	464	6.2	51.5	78	28.8	16.2	22.5
1985 	APR 	430	6.8	134.5	76	29.6	16.9	23.2
1986 	APR 	404	8.2	47.5	74	30.1	16.5	23.3
1987 	APR 	329	6.6	70.6	76	29.3	17.6	23.4
1988 	APR 	301	5.9	140.0	75	28.7	17.2	23.0
1989 	APR 	330	7.8	103.9	65	29.6	16.5	23.1
1990 	APR 	362	7.8	37.2	67	30.6	17.6	24.1
1991 	APR 	349	7.4	129.6	79	28.4	16.1	22.2
1992 	APR 	334	6.8	79.9	80	28.0	15.9	22.0
1993 	APR 	346	7.8	57.7	81	29.7	16.8	23.3
1994 	APR 	354	7.3	114.9	81	29.0	16.6	22.8
1995 	APR 	373	7.8	85.7	81	29.2	16.0	22.6
1996 	APR 	358	8.0	12.0	78	29.5	16.7	23.1
1997 	APR 	356	7.6	22.0	73	28.7	15.0	21.9
1998 	APR 	355	6.9	66.7	81	28.4	17.0	22.7
1999 	APR 	388	8.1	89.0	81	28.5	15.2	21.9
2000 	APR 	451	9.1	0.8	72	29.4	14.5	21.9
2001 	APR 	420	8.2	24.1	73	30.6	17.1	23.9
2002 	APR 	393	8.7	27.2	70	31.8	17.6	24.7
2003 	APR 	346	6.5	55.2	83	29.1	16.1	22.6
2004 	APR 	355	6.1	92.3	83	29.0	17.1	23.0
2005 	APR 	377	6.5	30.7	81	30.2	17.7	24.0
2006 	APR 	377	6.4	33.7	80	28.3	15.8	22.1
2007 	APR 	388	7.0	36.8	93	30.1	17.7	23.9
2008 	APR 	360	5.9	174.6	84	28.0	17.1	22.6
2009 	APR 	433	8.2	21.8	76	28.6	15.9	22.2
2010 	APR 	398	7.6	76.4	74	28.4	16.7	22.5
2011 	APR 	382	6.7	135.1	77	28.7	17.2	23.0
2012 	APR 	397	7.2	160.0	77	29.5	17.6	23.5
2013 	APR 	408	7.0	201.2	80	28.5	16.3	22.4
2014 	APR 	431	8.2	54.0	76	29.2	17.2	23.2
2015 	APR 	440	8.7	12.8	79	29.7	17.5	23.6
2016 	APR 	426	8.7	6.0	70	31.3	18.0	24.6
2017 	APR 	378	6.8	128.5	77	28.3	16.7	22.5
2018 	APR 	403	8.7	35.1	73	29.6	15.9	22.8
2019 	APR 	433	8.0	162.4	77	29.8	17.6	23.7
1917 	MAY 			58.5		22.2	8.6	15.4
1918 	MAY 			22.9		26.1	12.3	19.2
1919 	MAY 			38.9		26.8	13.5	20.2
1920 	MAY 			12.3		26.3	10.6	18.4
1921 	MAY 		17.3	26.5		27.6	10.2	18.9
1922 	MAY 		14.5	17.4		27.1	13.0	20.1
1923 	MAY 		11.4	82.9		24.3	12.9	18.6
1924 	MAY 		14.3	53.9		26.9	12.9	19.9
1925 	MAY 		13.2	59.0		26.3	13.1	19.7
1926 	MAY 		6.8	33.7		25.0	11.6	18.3
1927 	MAY 		8.3	0.0		26.7	10.8	18.7
1928 	MAY 		7.6	61.6		26.8	12.2	19.5
1929 	MAY 		6.8	119.8		24.6	11.9	18.2
1930 	MAY 		7.7	14.0		27.4	12.9	20.1
1931 	MAY 		6.6	37.0		25.2	12.6	18.9
1932 	MAY 		5.4	98.2		25.0	13.3	19.2
1933 	MAY 		6.6	77.0		25.8	11.7	18.7
1934 	MAY 		9.5	0.0		27.9	11.5	19.7
1935 	MAY 		8.9	6.8		25.9	9.7	17.8
1936 	MAY 		8.5	26.6		37.7	15.3	26.5
1937 	MAY 		7.0	74.4		24.4	12.3	18.4
1938 	MAY 		7.2	85.5		26.0	12.2	19.1
1939 	MAY 		6.5	129.8		25.5	14.1	19.8
1940 	MAY 		7.4	15.1		27.6	14.2	20.9
1941 	MAY 		7.5	15.2		27.4	13.8	20.6
1942 	MAY 		6.3	21.8		25.2	11.8	18.5
1943 	MAY 		8.4	1.2	65	27.3	10.9	19.1
1944 	MAY 		7.8	0.9	67	26.2	10.7	18.5
1945 	MAY 		7.1	14.3	71	24.8	10.0	17.4
1946 	MAY 		6.1	16.9	68	28.0	12.9	20.4
1947 	MAY 		6.6	39.1	73	26.6	13.6	20.1
1948 	MAY 		6.1	52.6	70	25.8	13.2	19.5
1949 	MAY 		7.2	49.0	70	24.7	10.6	17.6
1950 	MAY 		7.9	8.6	70	27.2	13.0	20.1
1951 	MAY 		7.2	8.3	70	26.1	9.9	18.0
1952 	MAY 		7.4	0.0	65	27.0	10.6	18.8
1953 	MAY 		6.3	27.7	73	25.6	12.7	19.1
1954 	MAY 		4.1	99.1	80	25.3	13.0	19.2
1955 	MAY 		6.4	57.3	71	25.9	10.4	18.2
